8	avait	avoir	V	V	n=s|t=I|p=3	4	mod	4	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	28	3	33	imparfait	616	621	_	_	_
9	beaucoup	beaucoup	ADV	ADV		8	mod	8	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	34	3	42	_	622	630	_	_	_
10	d'	de	P	P		8	mod	8	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	43	3	45	_	631	633	_	_	_
11	alcool	alcool	NC	NC	n=s|g=m	10	prep	10	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	45	3	51	_	633	639	_	_	_
12	,	,	PONCT	PONCT		11	ponct	11	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	51	3	52	_	639	640	_	_	_
13	l'	le	DET	DET	n=s	14	det	14	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	53	3	55	_	641	643	_	_	_
14	heure	heure	NC	NC	n=s|g=f	8	obj	8	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	55	3	60	_	643	648	_	_	_
15	de	de	P	P		8	mod	8	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	61	3	63	_	649	651	_	_	_
16	repartir	repartir	VINF	VINF	t=W	15	prep	15	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	64	3	72	_	652	660	_	_	_
17	approchait	approcher	V	V	n=s|t=I|p=3	4	mod	4	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	73	3	83	imparfait	661	671	_	_	_
18	,	,	PONCT	PONCT		17	ponct	17	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	83	3	84	_	671	672	_	_	_
19	il	il	CLS	CLS	n=s|g=m|p=3	21	suj	21	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	85	3	87	_	673	675	_	_	_
20	y	y	CLO	CLO		21	mod	21	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	88	3	89	_	676	677	_	_	_
21	avait	avoir	V	V	n=s|t=I|p=3	4	mod	4	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	90	3	95	imparfait	678	683	_	_	_
22	trois	trois	DET	DET	s=card|n=p	23	det	23	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	96	3	101	_	684	689	_	_	_
23	filles	fille	NC	NC	n=p|g=f	21	obj	21	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	102	3	108	_	690	696	_	_	_
24	qui	qui	PROREL	PROREL	n=s	25	suj	25	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	109	3	112	_	697	700	_	_	_
25	repartaient	repartir	V	V	n=p|t=I|p=3	23	mod_rel	23	mod_rel	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	113	3	124	imparfait	701	712	_	Err	a	711-712
26	à	à	P	P		25	mod	25	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	125	3	126	_	713	714	_	_	_
27	pied	pied	NC	NC	n=s	26	prep	26	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	127	3	131	_	715	719	_	_	_
28	.	.	PONCT	PONCT		27	ponct	27	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	131	3	132	_	719	720	_	_	_

1	Elles	elles	CLS	CLS	n=p|g=f|p=3	2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	133	3	138	_	721	726	_	_	_
2	étaient	être	V	V	n=p|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	139	3	146	imparfait	727	734	_	_	_
3	sur	sur	P	P		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	147	3	150	_	735	738	_	_	_
4	le	le	DET	DET	n=s|g=m	5	det	5	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	151	3	153	_	739	741	_	_	_
5	chemin	chemin	NC	NC	n=s|g=m	3	prep	3	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	154	3	160	_	742	748	_	_	_
6	du	de	P+D	P+D	n=s|g=m	5	dep	5	dep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	161	3	163	_	749	751	_	_	_
7	retour	retour	NC	NC	n=s|g=m	6	prep	6	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	164	3	170	_	752	758	_	_	_
8	quand	quand	CS	CS		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	171	3	176	_	759	764	_	_	_
9	tout	tout	PRO	PRO	n=s|g=m	0	_	0	_	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	177	3	181	_	765	769	_	_	_
10	à	à	P	P		9	dep	9	dep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	182	3	183	_	770	771	_	_	_
11	coup	coup	NC	NC	n=s|g=m	10	prep	10	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	184	3	188	_	772	776	_	_	_
12	...	...	PONCT	PONCT		11	ponct	11	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	189	3	192	_	777	780	_	_	_

1	Elles	elles	CLS	CLS	n=p|g=f|p=3	3	suj	3	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	193	3	198	_	781	786	_	_	_
2	se	se	CLR	CLR	n=p,s|p=3	3	aff	3	aff	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	199	3	201	_	787	789	_	Err	retourna	787-799
3	retournèrent	retourner	V	V	n=p|t=J|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	202	3	214	autreTemps	790	802	_	_	_
4	en	en	P	P		3	mod	3	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	215	3	217	_	803	805	_	_	_
5	entendant	entendre	VPR	VPR	t=G	4	prep	4	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	218	3	227	_	806	815	_	_	_
6	ce	ce	DET	DET	n=s|g=m	8	det	8	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	228	3	230	_	816	818	_	_	_
7	grand	grand	ADJ	ADJ	n=s|g=m	8	mod	8	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	231	3	236	_	819	824	_	_	_
8	bruit	bruit	NC	NC	n=s|g=m	5	obj	5	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	237	3	242	_	825	830	_	_	_
9	.	.	PONCT	PONCT		8	ponct	8	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	242	3	243	_	830	831	_	_	_

1	C'	ce	CLS	CLS		2	suj	2	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	244	3	246	_	832	834	_	Err	etait	831-836
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	246	3	251	imparfait	834	839	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	252	3	255	_	840	843	_	_	_
4	bagarre	bagarre	NC	NC	n=s|g=f	2	obj	2	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	256	3	263	_	844	851	_	_	_
5	dans	dans	P	P		2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	264	3	268	_	852	856	_	_	_
6	un	un	DET	DET	n=s|g=m	7	det	7	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	3	269	3	271	_	857	859	_	_	_
